object size,360p,480p,540p,720p
0.2,0.9761306532663315,0.9837702871410736,0.9788819875776398,1.0
0.20400000000000001,0.9621811785400176,0.976336546888694,0.9686411149825784,1.0
0.20800000000000002,0.9321382842509603,0.9695431472081218,0.9690210656753409,1.0
0.212,0.9066666666666667,0.8917525773195877,0.9142857142857144,1.0
0.216,0.748031496062992,0.8530465949820788,0.8631578947368422,1.0
0.22,0.7666666666666666,0.8264462809917356,0.8671875,1.0
0.224,0.7682119205298014,0.7755102040816326,0.8805031446540881,1.0
0.228,0.6315789473684211,0.7999999999999999,0.88268156424581,1.0
0.232,0.7397260273972603,0.7612903225806451,0.8242424242424243,1.0
0.23600000000000002,0.7034482758620689,0.6710526315789472,0.8198757763975155,1.0
0.24,0.7513812154696133,0.7391304347826086,0.8686868686868686,1.0
0.244,0.732919254658385,0.767123287671233,0.880952380952381,1.0
0.248,0.6666666666666667,0.7422680412371133,0.803921568627451,1.0
0.252,0.7160493827160493,0.8260869565217391,0.8045977011494252,1.0
0.256,0.6301369863013699,0.7714285714285715,0.7428571428571429,1.0
0.26,0.6818181818181818,0.7954545454545455,0.7835051546391752,1.0
0.264,0.5714285714285714,0.6268656716417911,0.6969696969696969,1.0
0.268,0.6363636363636364,0.7777777777777778,0.8108108108108107,1.0
0.272,0.6216216216216216,0.7012987012987012,0.7894736842105263,1.0
0.276,0.6153846153846153,0.6562500000000001,0.7352941176470588,1.0
0.28,0.689655172413793,0.7999999999999999,0.7741935483870968,1.0
0.28400000000000003,0.6176470588235295,0.7222222222222222,0.8115942028985507,1.0
0.28800000000000003,0.45454545454545453,0.5769230769230769,0.5957446808510638,1.0
0.292,0.7096774193548386,0.8493150684931507,0.7666666666666667,1.0
0.296,0.7234042553191491,0.9166666666666666,0.8444444444444444,1.0
0.3,0.5555555555555556,0.7999999999999999,0.7307692307692307,1.0
0.304,0.7027027027027027,0.8571428571428571,0.7500000000000001,1.0
0.308,0.6153846153846153,0.8076923076923077,0.7755102040816326,1.0
0.312,0.6521739130434783,0.8235294117647058,0.9130434782608696,1.0
0.316,0.6500000000000001,0.8333333333333333,0.7,1.0
0.32,0.8275862068965517,0.875,0.787878787878788,1.0
0.324,0.45161290322580644,0.6666666666666667,0.5625000000000001,1.0
0.328,0.5185185185185186,0.7692307692307692,0.6153846153846153,1.0
0.332,0.64,0.7857142857142857,0.7586206896551724,1.0
0.336,0.588235294117647,0.625,0.37499999999999994,1.0
0.34,0.7000000000000001,0.9090909090909091,0.7500000000000001,1.0
0.34400000000000003,0.7333333333333333,0.9090909090909091,0.8666666666666667,1.0
0.34800000000000003,0.5882352941176471,0.7058823529411764,0.7272727272727273,1.0
0.352,0.6956521739130435,0.9565217391304348,0.9090909090909091,1.0
0.356,0.6153846153846153,0.8333333333333333,0.6666666666666666,1.0
0.36,0.7999999999999999,0.7368421052631579,0.7058823529411765,1.0
0.364,0.6666666666666666,0.7499999999999999,0.5714285714285715,1.0
0.368,0.625,0.7142857142857143,0.7058823529411765,1.0
0.372,0.6,0.8,0.7272727272727272,1.0
0.376,0.4444444444444445,0.7272727272727272,0.25,1.0
0.38,0.6666666666666667,0.8695652173913043,0.8695652173913043,1.0
0.384,0.8461538461538461,0.88,0.8461538461538461,1.0
0.388,0.8750000000000001,0.8750000000000001,0.8,1.0
0.392,0.888888888888889,0.8000000000000002,0.888888888888889,1.0
0.396,0.875,0.875,0.75,1.0
0.4,0.75,0.7692307692307692,0.8333333333333333,1.0
0.404,0.8,0.923076923076923,1.0,1.0
0.40800000000000003,0.9090909090909091,1.0,0.8333333333333333,1.0
0.41200000000000003,0.8571428571428571,0.9333333333333333,0.823529411764706,1.0
0.41600000000000004,0.6666666666666666,1.0,0.6666666666666666,1.0
0.42,1.0,1.0,0.888888888888889,1.0
0.424,0.7272727272727272,0.888888888888889,0.8000000000000002,1.0
