video_name,model,gpu time,frame rate,f1,temporal,spatial,bandwidth
highway_11,faster_rcnn_resnet101,0.2,0.2,0.589253036,5,NA,NA
highway_11,faster_rcnn_resnet101,0.16,0.16,0.491222204,4,NA,NA
highway_11,faster_rcnn_resnet101,0.12,0.12,0.391557254,3,NA,NA
highway_11,faster_rcnn_resnet101,0.1,0.1,0.33177414,2.5,NA,NA
highway_11,faster_rcnn_resnet101,0.08,0.08,0.273567468,2,NA,NA
highway_11,faster_rcnn_resnet101,0.072,0.072,0.252084028,1.8,NA,NA
highway_11,faster_rcnn_resnet101,0.06,0.06,0.206750367,1.5,NA,NA
highway_11,faster_rcnn_resnet101,0.048,0.048,0.170873786,1.2,NA,NA
highway_11,faster_rcnn_resnet101,0.04,0.04,0.139534884,1,NA,NA
highway_12,faster_rcnn_resnet101,0.04,0.04,0.189603413,1,NA,NA
highway_12,faster_rcnn_inception_v2,0.021886792,0.04,0.1616904,1,NA,NA
highway_12,ssd_mobilenet_v2,0.011698113,0.04,0.126934985,1,NA,NA
highway_12,faster_rcnn_resnet101,0.8,0.8,0.988289676,20,NA,NA
highway_12,faster_rcnn_resnet101,0.6,0.6,0.975894365,15,NA,NA
highway_12,faster_rcnn_resnet101,0.4,0.4,0.913218036,10,NA,NA
highway_12,faster_rcnn_resnet101,0.2,0.2,0.65735568,5,NA,NA
highway_12,faster_rcnn_resnet101,0.16,0.16,0.559852103,4,NA,NA
highway_12,faster_rcnn_resnet101,0.12,0.12,0.4524248,3,NA,NA
highway_12,faster_rcnn_resnet101,0.1,0.1,0.39441481,2.5,NA,NA
highway_12,faster_rcnn_resnet101,0.08,0.08,0.32999229,2,NA,NA
highway_12,faster_rcnn_resnet101,0.072,0.072,0.301018833,1.8,NA,NA
highway_12,faster_rcnn_resnet101,0.06,0.06,0.256731946,1.5,NA,NA
highway_12,faster_rcnn_resnet101,0.048,0.048,0.208859796,1.2,NA,NA
